time,area_h1,area_h2,area_h3,area_h4,area_h5,dt,temp_avg,temp_max,temp_min
0,386.3464983464,7863.0798969071,7375.1708985608,20625.402706186,8750,0,0,0,0
1,369.43367091899,7859.3493523702,7391.0631564449,20626.207171044,8753.9466492216,1,302.49457016076,492.17082333195,299.99999999955
2,331.55687889273,7854.0384198811,7429.2304382555,20626.716080544,8758.4581824262,1,304.81045014406,642.67882350916,299.9999999999
4,261.42354578906,7846.2412695449,7514.339474832,20608.333935201,8769.6617746325,2,308.9630983305,844.51025172897,299.99999999994
6,206.83531842465,7846.9354997826,7602.7113107589,20559.546274794,8783.9715962399,2,312.78848727963,987.99523427355,299.99999999996
8,164.17066490137,7850.9531204788,7687.2059048555,20495.833555274,8801.8367544904,2,316.37274798876,1094.947718005,299.9999999999
10,135.20432155385,7852.2297238179,7757.2541660731,20431.783313732,8823.5284748233,2,319.77394069092,1180.5762876077,299.99999999997
12,116.64579443786,7849.5111778387,7813.1640752904,20371.67856654,8849.0003858931,2,323.02756321417,1253.4300335218,299.99999999997
14,105.6528674277,7844.3989815648,7857.8904731565,20314.277253076,8877.780424775,2,326.15738436286,1317.8085615099,299.99999999997
16,101.00331281529,7838.4065259168,7893.7892310603,20257.842456502,8908.9584737056,2,329.18127633576,1376.5546435177,299.99999999993
18,102.09651646169,7832.2274066686,7922.8137038255,20201.559015606,8941.3033574381,2,332.11336377887,1431.367902382,299.99999999996
20,108.51631143177,7826.0375478609,7946.4747131689,20145.493451164,8973.4779763743,2,334.96531607533,1483.1370122774,299.99999999994
22,119.964767341,7819.8218186522,7965.6660956345,20090.278181551,9004.2691368212,2,337.74695550249,1532.4032445799,299.99999999993
24,135.81748455109,7813.5574643533,7981.1994102833,20036.674689287,9032.7509515249,2,340.46641644792,1579.3218816581,299.99999999965
26,155.07480138743,7807.2777663577,7994.024029757,19985.27557053,9058.3478319673,2,343.13020523336,1624.9517266017,299.99999999943
28,177.00887523448,7801.0536840927,8004.6890960934,19936.436443832,9080.8119007475,2,345.74374049933,1669.2292337828,299.9999999995
30,200.8453038741,7794.949187746,8013.7150558353,19890.338156549,9100.1522959957,2,348.31144912421,1710.8605601824,299.99999999983
32,225.84856988393,7788.9960965906,8021.5426021744,19847.061203194,9116.5515281569,2,350.83685899044,1749.6300175296,299.99999999991
34,252.34686554489,7783.1955179376,8027.5442437879,19806.622585121,9130.2907876083,2,353.32363783482,1788.8806920115,299.99999999995
36,280.3389966879,7777.5306975844,8031.4373223944,19768.999839756,9141.6931435775,2,355.77527525505,1826.3038476865,299.99999999997
38,308.72640935236,7771.978470728,8034.0601530861,19734.149702566,9151.0852642673,2,358.19396527837,1861.069090147,299.99999999999
40,337.81468557869,7766.5149338645,8034.8981035017,19701.997817838,9158.7744592169,2,360.58214703216,1894.9372981072,300
42,368.06549490212,7761.1169474126,8033.3435198518,19672.437161457,9165.0368763767,2,362.94276240375,1927.689349863,300
44,397.99204180164,7755.7623672654,8030.7862274172,19645.346266414,9170.1130971013,2,365.27706450267,1957.9309802732,300.00000000001
46,427.89479292544,7750.4296021885,8026.8959335508,19620.571437759,9174.208233576,2,367.58661578785,1988.3999757858,300.00000000001
48,458.50608524599,7745.0967240931,8020.9788426558,19597.923851121,9177.4944968837,2,369.87385185374,2018.1757218559,300.00000000001
50,488.32623801065,7739.7404703189,8014.6112660858,19577.207113887,9180.1149116978,2,372.13936407582,2045.5024222605,300.00000000002
52,517.94721002096,7734.3350032197,8007.325290505,19558.205126047,9182.1873702071,2,374.38435690981,2072.8945704321,300.00000000002
54,548.06422621504,7728.8529356112,7998.5802740201,19540.694000988,9183.8085631657,2,376.61092126496,2098.7531233082,300.00000000002
56,577.13493502054,7723.2710486594,7990.0543131319,19524.482147793,9185.0575553949,2,378.81917977444,2122.4601128145,300.00000000003
58,605.90816992347,7717.5785206084,7981.1098875052,19509.404507918,9185.9989140446,2,381.01012795304,2148.2769078355,300.00000000004
60,634.92301879721,7711.7830066674,7971.270312107,19495.338297902,9186.6853645258,2,383.18551505381,2171.8108317009,300.00000000005
62,662.76975378293,7705.9093848602,7961.9346589409,19482.226208795,9187.1599936205,2,385.3452185998,2194.1771567681,300.00000000005
64,690.18652955998,7699.9907033954,7952.3202568684,19470.044462477,9187.4580476991,2,387.49000399447,2216.5580315326,300.00000000006
66,717.83190429109,7694.0587222576,7941.7108811006,19458.790106172,9187.6083861783,2,389.62152700921,2236.7057939358,300.00000000006
68,744.33364189485,7688.1394648524,7931.4028827976,19448.489342863,9187.6346675919,2,391.73957806643,2258.0127964773,300.00000000007
70,770.2551142646,7682.2522028303,7920.773150253,19439.163202815,9187.5563298369,2,393.84460886104,2278.5333080316,300.00000000007
72,796.38135622293,7676.4101824993,7909.0002617125,19430.818810726,9187.389388839,2,395.93816329417,2296.9400022098,300.00000000007
74,821.60378652844,7670.6222081448,7897.1501070311,19423.476821426,9187.1470768693,2,398.02017992948,2316.676499961,300.00000000008
76,846.05867222018,7664.8935092522,7885.0288068974,19417.178663497,9186.8403481327,2,400.0907273135,2334.2220942978,300.00000000009
78,870.83519552971,7659.2262030808,7871.4475716719,19412.012748868,9186.4782808498,2,402.15132005998,2351.6912253783,300.0000000001
80,895.15373529702,7653.620229737,7856.9050305342,19408.252599453,9186.0684049788,2,404.20231421753,2369.9388179792,300.00000000012
82,918.44223132716,7648.0729991644,7841.1172631078,19406.750532594,9185.6169738067,2,406.24316327534,2386.0899557125,300.00000000015
84,941.05006426079,7642.5762832202,7821.1231443375,19410.121318796,9185.1291893856,2,408.2736622907,2402.8325280284,300.0000000002
86,961.20712452602,7637.1139938559,7796.2394001121,19420.830089434,9184.6093920718,2,410.29135411526,2418.299888365,300.00000000027
88,978.06877305769,7631.6651429427,7770.7294343764,19435.475433159,9184.0612164644,2,412.29363800777,2432.3332787006,300.00000000037
90,993.16861968407,7626.2059022848,7746.8370217705,19450.300750889,9183.4877053713,2,414.28075100703,2448.1440540229,300.00000000051
92,1007.7227090267,7620.7084686376,7724.5363838911,19464.141047812,9182.8913906329,2,416.25452986357,2461.6090019892,300.00000000072
94,1021.3984385985,7615.1396934285,7704.4051106632,19476.782394826,9182.2743624841,2,418.21593706874,2474.723767972,300.00000000101
96,1034.0085333296,7609.4605629931,7686.3555009039,19488.537067931,9181.638334842,2,420.16539250276,2487.2681449493,300.00000000142
98,1046.3640934299,7603.6281077353,7669.2578294694,19499.765263293,9180.9847060722,2,422.10420178564,2497.6110088608,300.00000000198
100,1058.629581261,7597.6036579023,7653.2116886072,19510.240459486,9180.3146127433,2,424.03368154629,2510.7270091598,300.00000000274
