time,area_h1,area_h2,area_h3,area_h4,area_h5,dt,temp_avg,temp_max,temp_min
0,386.3464983464,7863.0798969071,7375.1708985608,20625.402706186,8750,0,0,0,0
1,367.07835834188,7859.3492654899,7393.4219799688,20626.203746387,8753.9466498119,1,300.62279495769,347.98447990816,299.99999999913
2,319.4845056223,7854.0383848631,7441.3191934666,20626.699730474,8758.4581855736,1,301.19800903221,385.21890360663,299.99999999975
3,272.37058675817,7848.4971513221,7492.115498295,20623.42145468,8763.5953089441,1,301.73653784149,414.24603090868,299.9999999998
5,157.04917073233,7845.2928633036,7632.9268445698,20588.467516751,8776.2636046432,2,302.69945570469,450.31863970975,299.99999999983
7,50.651915391703,7848.8997675476,7778.9452015593,20529.230020736,8792.2730947656,2,303.58758277506,470.68106150094,299.99999999987
9,20.566137805893,7852.2094577225,7851.8966616893,20463.324529773,8812.0032130094,2,304.43417022681,490.451049958,299.99999999988
11,12.163884030609,7851.5018390037,7900.8369698561,20399.909819778,8835.5874873313,2,305.24773711526,509.40677780547,299.9999999999
13,8.567157460715,7847.4340926746,7941.5286263776,20339.688494847,8862.7816286395,2,306.03261465943,526.88553180746,299.9999999999
15,6.6109771314515,7841.8134257789,7977.882147516,20280.798083967,8892.8953656064,2,306.79198268266,542.78754251205,299.99999999992
17,5.3885076072955,7835.7437026617,8012.1221720994,20221.902698782,8924.8429188496,2,307.5284255848,557.24721683304,299.99999999993
19,4.5534739949759,7829.6170328691,8045.9129908624,20162.600633776,8957.3158684972,2,308.24413317086,570.33927595653,299.99999999994
21,3.9470257251161,7823.4853873437,8080.3095824912,20103.241342172,8989.0166622676,2,308.94099979492,582.16950658037,299.99999999995
23,3.4865131018833,7817.3177173584,8115.804958995,20044.527736722,9018.863073823,2,309.62068515058,592.84679415128,299.99999999995
25,3.1247870845286,7811.1204746095,8152.5331005322,19987.118897245,9046.1027405289,2,310.28465574004,602.85444252026,299.99999999996
27,2.8330108733179,7804.9545632691,8190.4222354629,19931.460116725,9070.3300736695,2,310.93421523415,611.92989873962,299.99999999996
29,2.5925678265159,7798.8959624538,8229.272514157,19877.803794847,9091.4351607154,2,311.57052785561,620.14654171622,299.99999999997
31,2.3909088285061,7792.9969000248,8268.8023309319,19826.28664096,9109.5232192548,2,312.19463708566,627.99187218015,299.99999999997
33,2.2192697853092,7787.2749354171,8308.686149413,19776.985954042,9124.8336913421,2,312.80748105484,635.30710402651,299.99999999997
35,2.0713458112262,7781.7221891095,8348.5877686441,19729.944674661,9137.6740217738,2,313.40990546074,641.95327596877,299.99999999998
37,1.9424854069018,7776.3185229263,8388.1884515744,19685.178211275,9148.3723288169,2,314.00267456078,648.27806000667,299.99999999998
39,1.8291816873554,7771.0403906904,8427.2092417848,19642.673938468,9157.2472473693,2,314.58648061582,654.1856805578,299.99999999998
41,1.7287405116324,7765.8647230367,8465.4269365916,19602.388576492,9164.5910233678,2,315.16195205664,659.54221038037,299.99999999998
43,1.6390577695378,7760.7700985702,8502.6834379832,19564.245605368,9170.6618003092,2,315.72966058002,664.88143294577,299.99999999998
45,1.5584661371042,7755.7371802841,8538.8887457583,19528.133857117,9175.6817507034,2,316.29012733789,669.89979520047,299.99999999998
47,1.4856272665772,7750.7489871469,8574.0184961708,19493.908287191,9179.8386022248,2,316.84382835221,674.44729259003,299.99999999999
49,1.4194544247578,7745.7904849852,8608.1073377468,19461.393819489,9183.2889033539,2,317.3911992656,678.98625730439,299.99999999999
51,1.3590559865627,7740.8471267846,8641.2392766933,19430.392558045,9186.1619824906,2,317.93263951957,683.15312453484,299.99999999999
53,1.3036934944198,7735.9030866917,8673.535552148,19400.693684046,9188.56398362,2,318.46851603808,686.96490073307,299.99999999999
55,1.2527500696024,7730.9407086282,8705.1402686833,19372.084626333,9190.5816462852,2,318.99916648243,691.01797795929,299.99999999999
57,1.2057062989557,7725.9423330232,8736.204359575,19344.361924886,9192.285676217,2,319.5249021337,694.6817458787,299.99999999999
59,1.1621216080357,7720.894435775,8766.8693544663,19317.340431974,9193.7336561762,2,320.04601045079,698.11718729486,299.99999999999
61,1.1216197389895,7715.7923358559,8797.2534334896,19290.860113933,9194.9724969825,2,320.5627573447,701.55227583867,299.99999999999
63,1.0838773655439,7710.6426333974,8827.4421021173,19264.790938862,9196.0404482574,2,321.0753892033,704.62838420541,299.99999999999
65,1.0486151318977,7705.4617450998,8857.4836131032,19239.03732194,9196.9687047248,2,321.58413469494,707.74891418256,299.99999999999
67,1.0155905328911,7700.2717543072,8887.3877234283,19213.542255643,9197.7826760888,2,322.0892063762,710.85235512623,299.99999999999
69,0.98459214169858,7695.0960960303,8917.1282481085,19188.288045173,9198.5030185465,2,322.59080212683,713.6191742848,299.99999999999
71,0.95543481961861,7689.9564680107,8946.6512205357,19163.290363258,9199.1465133758,2,323.08910643423,716.46950258108,299.99999999999
73,0.92795570032648,7684.871018164,8975.8872599292,19138.586942132,9199.7268240742,2,323.58429154677,719.10802277289,300
75,0.90201084834598,7679.853540353,9004.7632977155,19114.22602893,9200.2551221532,2,324.07651851165,721.48240477675,300
77,0.87747251300027,7674.9134757097,9033.2101092016,19090.258366449,9200.7405761263,2,324.56593810907,724.21790921835,300
79,0.85422687885663,7670.0565034,9061.1657941451,19066.732751324,9201.190724252,2,325.05269169276,726.6421661774,300.00000000001
81,0.83217220610427,7665.2854950529,9088.5771276861,19043.693440944,9201.6117641111,2,325.53691194624,728.93740226016,300
83,0.81121727159475,7660.6014805669,9115.4002139582,19021.178302634,9202.0087855693,2,326.0187235632,731.28445315011,300.00000000001
85,0.79128004732877,7656.0042300033,9141.601216569,18999.217310904,9202.3859624765,2,326.49824386212,733.33154191418,300.00000000002
87,0.77228657279021,7651.492182805,9167.1570566947,18977.83176374,9202.7467101875,2,326.97558334062,735.5577232603,300.00000000004
89,0.75416998922503,7647.0621572923,9192.0557644597,18957.034093887,9203.0938143715,2,327.4508461777,737.75189923023,300.00000000006
91,0.73686970963082,7642.7092238175,9216.2960726686,18936.828298257,9203.4295355474,2,327.9241306891,739.65435006126,300.00000000005
93,0.72033070199119,7638.4266651685,9239.8864510482,18917.210859388,9203.7556936929,2,328.3955297406,741.75977292916,300.0000000001
95,0.70450286843225,7634.205953094,9262.8438518242,18898.171955798,9204.0737364154,2,328.865131125,743.62318877197,300.00000000018
97,0.68934050414063,7630.0367714895,9285.1923048023,18879.696789139,9204.3847940653,2,329.33301790521,745.38148136272,300.00000000031
99,0.67480182472247,7625.9072365719,9306.9613885419,18861.76684849,9204.689724571,2,329.79926872813,747.42074900317,300.00000000038
101,0.66084855269798,7621.8042564795,9328.1847461388,18844.360998321,9204.9891505082,2,330.26395811227,749.1781828123,300.00000000057
103,0.64744555427016,7617.7139376009,9348.8987940837,18827.45633208,9205.2834906807,2,330.72715671154,750.93878282764,300.0000000009
105,0.63456052029135,7613.6220173174,9369.1416512733,18811.028783293,9205.5729875958,2,331.18893155782,752.67901883397,300.0000000013
107,0.62216368371448,7609.514297101,9388.9522836299,18795.053523407,9205.8577321779,2,331.64934628443,754.14312938574,300.00000000183
109,0.61022757206518,7605.3770614804,9408.3697287188,18779.505296642,9206.137685587,2,332.10846133204,755.97391834732,300.0000000026
111,0.59872678685285,7601.1975977303,9427.4321592619,18764.358816959,9206.412699262,2,332.56633413901,757.63529972197,300.00000000346
113,0.58763780918193,7596.9649855254,9446.1753159084,18749.58952793,9206.682532827,2,333.02301931743,759.1042278677,300.0000000046
115,0.57693882531206,7592.6714273207,9464.6298062435,18735.174956949,9206.9468706612,2,333.4785688163,760.76399267076,300.00000000622
117,0.56660957218405,7588.3141820712,9482.817044101,18721.096827605,9207.2053366501,2,333.93303207289,762.1530008971,300.00000000818
119,0.55663119910367,7583.8976853537,9500.7446714262,18707.343504442,9207.4575075791,2,334.38645615349,763.64285612823,300.0000000107
121,0.54698614384338,7579.4347197049,9518.4037175247,18693.911651417,9207.7029252091,2,334.83888588457,765.24331208021,300.00000001389
123,0.53765802151117,7574.9453640576,9535.7701166053,18680.805754183,9207.9411071324,2,335.29036397509,766.57554857453,300.00000001801
125,0.52863152485533,7570.4535569516,9552.8111102609,18668.035144795,9208.1715564671,2,335.74093113076,768.06982055733,300.0000000231
127,0.5198923348188,7565.9827391044,9569.493783563,18655.60981453,9208.3937704678,2,336.19062616081,769.41304070015,300.00000002952
129,0.51142704022144,7561.5525438152,9585.7917781631,18643.537002858,9208.6072481237,2,336.63948607767,770.59665663882,300.00000003744
131,0.50322306548997,7557.1774818138,9601.688087929,18631.819710339,9208.8114968526,2,337.08754619028,772.16195717941,300.0000000473
133,0.49526860543671,7552.8672482422,9617.1744848745,18620.45695994,9209.0060383374,2,337.53484019119,773.46207282656,300.00000005949
135,0.48755256619181,7548.6277224523,9632.2493666604,18609.444944721,9209.1904135996,2,337.98140023826,774.73845433874,300.00000007429
137,0.48006451155131,7544.4619419945,9646.9155445633,18598.778261619,9209.3641873119,2,338.42725703127,776.05765003863,300.00000009241
139,0.47279461411932,7540.3707857496,9661.1786738547,18588.450794444,9209.5269513376,2,338.87243988381,777.11476553113,300.00000011438
141,0.46573361073722,7536.3533841198,9675.0464246092,18578.456130182,9209.6783274782,2,339.31697679103,778.51093144228,300.00000014102
143,0.45887276177079,7532.4073457194,9688.528238995,18568.78757317,9209.817969354,2,339.76089449332,779.79729394776,300.00000017319
145,0.45220381386405,7528.5288960311,9701.6354452974,18559.437891523,9209.9455633349,2,340.20421853636,780.8770413228,300.00000021173
147,0.44571896582825,7524.7130056237,9714.3815091953,18550.398937729,9210.0608284863,2,340.64697332783,782.18863774743,300.00000025793
149,0.43941083735338,7520.9535280439,9726.7822814365,18541.661264032,9210.1635156502,2,341.08918219087,783.23979728193,300.00000031291
